index,label,token,words
0,000,declare-bankruptcy,宣布破产
1,001,end-org,组织停业
2,002,merge-org,组织合并
3,003,start-org,组织创立
4,100,attack,攻击
5,101,demonstrate,示威
6,200,meet,会谈
7,201,phone-write,电话写作
8,300,acquit,
9,301,appeal,
10,302,arrest-jail,
11,303,charge-indict,
12,304,convict,
13,305,execute,
14,306,extradite,
15,307,fine,
16,308,pardon,
17,309,release-parole,
18,310,sentence,
19,311,sue,
20,312,trial-hearing,
21,400,be-born,出生
22,401,die,死亡
23,402,divorce,离婚
24,403,injure,受伤
25,404,marry,结婚
26,500,transport,运输
27,600,elect,
28,601,end-position,
29,602,nominate,
30,603,start-position,
31,700,transfer-money,转移资金
32,701,transfer-ownership,转让所有权
