index,label,token
0,000,declare-bankruptcy
1,001,end-org
2,002,merge-org
3,003,start-org
4,100,attack
5,101,demonstrate
6,200,meet
7,201,phone-write
8,300,acquit
9,301,appeal
10,302,arrest-jail
11,303,charge-indict
12,304,convict
13,305,execute
14,306,extradite
15,307,fine
16,308,pardon
17,309,release-parole
18,310,sentence
19,311,sue
20,312,trial-hearing
21,400,be-born
22,401,die
23,402,divorce
24,403,injure
25,404,marry
26,500,transport
27,600,elect
28,601,end-position
29,602,nominate
30,603,start-position
31,700,transfer-money
32,701,transfer-ownership
