text	label
继续播报详细的新闻内容。	[]
首先是有关于益文活动的消息。	[]
第三届台北艺术节今天晚上在台北大安森林公园登场，台北市长马英久和文化局长龙映台共同开锣接开序幕。	[]
晚会当中歌手演唱百年来的原声歌谣，以歌曲引领民众回顾过去。	[]
这项活动明天2号晚上将在南京西路建成圆环举行连环走场，邀请蔡振南以及陈冠华等歌手表演，重温往日台北民间文化。	[]
负责策划这次艺术节活动的台北市文化局指出，这项名为“歌谣百年台湾”音乐活动有三项特色，今年没有国际艺术团体，完全是由本土艺术团体参与，以声音作为艺术表现主体，以社区参与为主轴，将艺术带入社区。	[]
龙映台说，“歌谣百年台湾”是用艺术呈现声音的历史，希望能够刺激国内的流行音乐品质更加的提升。	[]
继续播报详细的新闻内容。	[]
行政院长张俊雄今天在立法院参加跨党派大陆台商权益促进会成立大会时表示，他的理念是以合作代替对抗，因为过去对抗、对立的政治文化让人们付出很多的代价。	[3]
他也希望对敏感的大陆政策能够找到共同点，两岸能够建构正常、和平的关系。	[]
请听记者宫能惠的报导。	[]
立法院第一个针对两岸事务成立的刺激团体跨党派大陆台商权益促进会6号成立，刚刚宣誓就任的行政院长张俊雄也应邀参加成立典礼并且致词表示，我们的政治文化过去是以对抗、对立没有合作的文化，以致于付出了很大的代价，但是现在环境不同了，应该以合作代替对抗。	[3, 30, 3]
因此他期许跨党派大陆台商权益促进会能在最敏感的大陆政策上追出族群、意识形态以促进台商权益的保障，并为两岸建构正常、和平的关系。	[]
“以合作代替对抗是超出族群、超出意识形态。	[]
在超出族群、超出意识形态里面找到一个大家都可以接受的共同点，是什么？	[]
台商权益的保障。	[]
”跨党派大陆台商权益促进会成员包瓜30多位各党派立法委员，首任会长是新党籍立法委员郑龙水，副会长是中国国民党立委朱凤芝、亲民党立委周西伟、民主进步党周庆玉。	[]
会长郑龙水在致词时强调这个刺激团体的特色是，跨党派、超意识形态，以及政经分离。	[]
郑龙水说由于目前台商大约有5万家，每年为我国赚进大笔外汇，政府应该积极帮助台商解决各项问题，不要把台商当做摇钱树或是迷途羔羊，他希望这个团体能够成为两岸三通的桥梁、大陆台商的志工，并且希望能够促进台商权益，对两岸经贸事务扮演积极的推动、推深的角色。	[]
而成立大会中郑龙水与其他成员也拿着象征碰风的气球，高呼“两岸不要碰风！	[]
两岸追求和平！	[]
两岸推动三通！	[]
两岸希望繁荣”的口号，并且戳破气球象征大家要务实的来解决两岸问题。	[]
“两岸推动三通！	[]
两岸推动三通！	[]
两岸希望繁荣！	[]
两岸希望繁荣！	[]
接下来我们请所有的成员把象征碰风的气球把它用力的戳破。	[]
”《台北国际之声》记者宫能惠立法院报导。	[]
南斯拉夫反对党发起的大规模非暴力抗争活动5号演变在暴力抗争，多达30万民众强行闯入贝尔格勒国会大厦，逼迫南斯拉夫总统米洛舍维奇坦诚在9月24号的大选当中败给对手科什图尼察。	[4, 26]
米洛舍维奇被迫逃离贝尔格勒，获胜的反对派塞尔维亚民主反对联盟6号早上成立危机处理委员会，负责监督权力转移事宜。	[26, 3]
这危机委员会包括军警、补给、经济和其它重要的部门。	[]
新的南斯拉夫国会可能会在6号举行会议。	[]
根据国营的坦加格通讯社报导，米洛舍维奇的命运显然是掌握在南斯拉夫军事领导阶层的手里，这些在他执政期间支持他的主要势力，6号早上在贝尔格勒集会。	[6]
俄罗斯总统普京6号早上也已经派遣外交部长伊万诺夫前往当地，希望协助化解这次南斯拉夫的政治危机。	[26]
对于出现这样的危机，不禁令人仔细的思考在过去的一连串危机中，给没有被打倒的，南斯拉夫联邦总统米洛舍维奇是否已经到了黔驴技穷？	[]
他会不会发动最后一场战争？	[]
以下请听编译吴明康的报导。	[]
根据9月24号举行的南斯拉夫总统大选第一回合投票的官方结果显示，米洛舍维奇40.23%，败给十八党反对联盟候选人科什图尼察。	[]
虽然米洛舍维奇要求在10月8号举行第二轮的投票，但是反对党人士声称已经胜选，所以拒绝接受再度投票的要求。	[]
至于在5号的最新发展中，在电视上发表演说的科什图尼察已经被南斯拉夫媒体称为总统当选人。	[]
现年56岁的科什图尼察先前曾经表示，在这次的选举中败击米洛舍维奇，等于是败击了全世界最后的独裁者，将可以借此终结南斯拉夫10多年来衰退的国事。	[]
科什图尼察的作风低调，并不像南斯拉夫历来的总统候选人一样，被做到成为相当具有领袖魅力的偶像。	[]
相反的科什图尼察具有亲和力，行事正直，不但对饱受血腥跟战乱冲突的平民来说具有抚平人心的魅力，也让南斯拉夫民众可以对没有米洛舍维奇的未来抱持信心，燃起希望。	[]
科什图尼察过去以追求学术为职志，直到1974年因为反动立场被贝尔格勒法学院解职，被迫离开学术圈。	[28]
科什图尼察并且在1990年初期加入反对运动，然后在1992年成立塞尔维亚民主党。	[3]
